assemble_time,cell_type,degree,num_cells,num_dofs,num_procs,parloop_time,problem,tsfc_mode
0.5160543123881022,simplex,3,7440,641550,12,0.438990314801534,elasticity,spectral
0.4410310983657837,simplex,4,1530,317331,12,0.39435335000356037,elasticity,spectral
4.1183233459790545,simplex,1,4691126,14378940,12,3.5866140723228455,stokes_momentum,spectral
1.956132213274638,simplex,2,274400,6771087,12,1.6409026384353638,stokes_momentum,spectral
1.190793216228485,simplex,3,36414,3059364,12,0.9587650100390116,stokes_momentum,spectral
0.8411679665247599,simplex,4,7680,1545291,12,0.6563355326652527,stokes_momentum,spectral
0.872488776842753,simplex,1,938700,2921850,12,0.77504563331604,elasticity,spectral
0.5252213676770529,simplex,2,54752,1378377,12,0.4583536585172017,elasticity,spectral
0.48943034807840985,simplex,3,7440,641550,12,0.42973877986272174,elasticity,spectral
0.4480144778887431,simplex,4,1530,317331,12,0.39482523997624713,elasticity,spectral
2.6348590652147927,cube,1,9362012,9523200,12,2.404951731363932,poisson,spectral
2.3975029786427817,cube,2,546875,4473071,12,2.1302280823389688,poisson,spectral
2.163881301879883,cube,3,73710,2048200,12,1.8999194502830505,poisson,spectral
1.8156073093414307,cube,4,15210,1010609,12,1.567096213499705,poisson,spectral
1.6830971240997314,cube,5,4368,570636,12,1.4037463863690693,poisson,spectral
1.5538867910703023,cube,6,1444,330625,12,1.2903931140899658,poisson,spectral
1.6399704416592915,cube,7,585,214544,12,1.3264979124069214,poisson,spectral
2.6682555278142295,cube,1,9362012,9523200,12,2.4249896009763083,poisson,spectral
2.4154106974601746,cube,2,546875,4473071,12,2.143321176369985,poisson,spectral
2.3034151593844094,cube,3,73710,2048200,12,1.9328302939732869,poisson,spectral
1.8304115335146587,cube,4,15210,1010609,12,1.5709484616915386,poisson,spectral
1.689162055651347,cube,5,4368,570636,12,1.4121857086817424,poisson,spectral
1.539185067017873,cube,6,1444,330625,12,1.2910229961077373,poisson,spectral
1.639224370320638,cube,7,585,214544,12,1.319207231203715,poisson,spectral
1.4891180793444316,cube,8,242,134657,12,1.1231929262479146,poisson,spectral
2.68505205710729,cube,1,9362012,9523200,12,2.4297300974527993,poisson,spectral
2.4341626365979514,cube,2,546875,4473071,12,2.1320802370707193,poisson,spectral
2.1938833196957908,cube,3,73710,2048200,12,1.8966639041900635,poisson,spectral
1.7993960976600647,cube,4,15210,1010609,12,1.5672929286956787,poisson,spectral
1.6901485323905945,cube,5,4368,570636,12,1.4045390685399373,poisson,spectral
1.533359408378601,cube,6,1444,330625,12,1.2913103501001995,poisson,spectral
1.6469812591870625,cube,7,585,214544,12,1.3192413647969563,poisson,spectral
1.4969414869944255,cube,8,242,134657,12,1.1247406800587971,poisson,spectral
1.6187690893809001,cube,9,126,99712,12,1.1295399864514668,poisson,spectral
1.587512989838918,cube,10,63,71071,12,1.2139343619346619,poisson,spectral
1.6775228381156921,cube,11,35,52416,12,1.3025145530700684,poisson,spectral
1.8927817344665527,cube,12,20,38857,12,1.2753516832987468,poisson,spectral
1.8057026068369548,cube,13,12,29680,12,1.3180541197458904,poisson,spectral
2.6349178353945413,cube,14,12,36765,12,2.1243889133135476,poisson,spectral
3.936075588067373,cube,15,12,44896,12,3.3280182083447776,poisson,spectral
2.3976700703303018,cube,1,9362012,9523200,12,2.2016828060150146,poisson_gll,spectral
1.091705063978831,cube,2,546875,4473071,12,0.9097980856895447,poisson_gll,spectral
0.7571506301561991,cube,3,73710,2048200,12,0.610517680644989,poisson_gll,spectral
0.568816343943278,cube,4,15210,1010609,12,0.44188515345255536,poisson_gll,spectral
0.4938202500343323,cube,5,4368,570636,12,0.35460392634073895,poisson_gll,spectral
0.4437345465024312,cube,6,1444,330625,12,0.29340726137161255,poisson_gll,spectral
0.38767731189727783,cube,7,585,214544,12,0.2671332557996114,poisson_gll,spectral
0.3230735659599304,cube,8,242,134657,12,0.2222637931505839,poisson_gll,spectral
0.33666441837946576,cube,9,126,99712,12,0.22289772828420004,poisson_gll,spectral
0.2887113094329834,cube,10,63,71071,12,0.1930896838506063,poisson_gll,spectral
0.26465141773223877,cube,11,35,52416,12,0.19096030791600546,poisson_gll,spectral
0.36893202861150104,cube,12,20,38857,12,0.1887679100036621,poisson_gll,spectral
0.4680943290392558,cube,13,12,29680,12,0.20833847920099893,poisson_gll,spectral
0.48768365383148193,cube,14,12,36765,12,0.3141779899597168,poisson_gll,spectral
0.7110403378804525,cube,15,12,44896,12,0.44642776250839233,poisson_gll,spectral
1.935172160466512,cube,8,25,45387,12,1.3405385414759319,hyperelasticity,spectral
1.520806610584259,cube,9,12,31080,12,1.3870287934939067,hyperelasticity,spectral
3.2254344622294107,cube,10,12,41943,12,2.8197592894236245,hyperelasticity,spectral
5.288422306378682,cube,11,12,55080,12,4.525324046611786,hyperelasticity,spectral
9.07644659280777,cube,12,12,70707,12,8.086007932821909,hyperelasticity,spectral
14.629543046156565,cube,13,12,89040,12,12.772561093171438,hyperelasticity,spectral
21.253941158453625,cube,14,12,110295,12,19.974927683671314,hyperelasticity,spectral
1.9628714323043823,cube,8,25,45387,12,1.3667901357014973,hyperelasticity,spectral
1.5139218370119731,cube,9,12,31080,12,1.3929549654324849,hyperelasticity,spectral
3.02987531820933,cube,10,12,41943,12,2.7959527571996055,hyperelasticity,spectral
4.851148883501689,cube,11,12,55080,12,4.495450635751088,hyperelasticity,spectral
8.484522779782614,cube,12,12,70707,12,7.9662512342135114,hyperelasticity,spectral
13.25464920202891,cube,13,12,89040,12,12.504513382911682,hyperelasticity,spectral
21.096894363562267,cube,14,12,110295,12,19.93346832195918,hyperelasticity,spectral
1.032813847064972,cube,1,938700,2886257,12,0.9388406872749329,curl_curl,spectral
1.6207545002301533,cube,2,54752,1356666,12,1.4123975833257039,curl_curl,spectral
1.244640052318573,cube,3,7440,628371,12,1.0636958678563435,curl_curl,spectral
1.2561858495076497,cube,4,1530,309312,12,1.019391159216563,curl_curl,spectral
1.2173653443654378,cube,5,429,171760,12,0.9798208475112915,curl_curl,spectral
1.280240794022878,cube,6,144,101058,12,1.0182783603668213,curl_curl,spectral
1.3469002445538838,cube,7,56,64694,12,1.0115574200948079,curl_curl,spectral
1.744067390759786,cube,8,25,42968,12,1.0514356692632039,curl_curl,spectral
1.6276028752326965,cube,9,12,29394,12,1.1462115049362183,curl_curl,spectral
2.9089069763819375,cube,10,12,39880,12,2.33765701452891,curl_curl,spectral
4.995477577050527,cube,11,12,52602,12,4.203390717506409,curl_curl,spectral
10.24274237950643,cube,12,12,67776,12,7.382645944754283,curl_curl,spectral
13.498400032520294,cube,13,12,85618,12,11.717471142609915,curl_curl,spectral
1.0297911365826924,cube,1,938700,2886257,12,0.9388293027877808,curl_curl,spectral
1.5469755331675212,cube,2,54752,1356666,12,1.3990167776743572,curl_curl,spectral
1.2466193834940593,cube,3,7440,628371,12,1.062134325504303,curl_curl,spectral
1.263139267762502,cube,4,1530,309312,12,1.0161768595377605,curl_curl,spectral
1.2217101057370503,cube,5,429,171760,12,0.9812174042065939,curl_curl,spectral
1.2910344004631042,cube,6,144,101058,12,1.0211817224820454,curl_curl,spectral
1.3409514625867207,cube,7,56,64694,12,1.0044492880503337,curl_curl,spectral
1.7380695740381877,cube,8,25,42968,12,1.0645771225293477,curl_curl,spectral
1.6262959241867065,cube,9,12,29394,12,1.1444152196248372,curl_curl,spectral
2.8548320531845093,cube,10,12,39880,12,2.3280896147092185,curl_curl,spectral
4.964184880256653,cube,11,12,52602,12,4.193158447742462,curl_curl,spectral
10.21408369143804,cube,12,12,67776,12,7.366358041763306,curl_curl,spectral
13.740851879119873,cube,13,12,85618,12,11.722303330898285,curl_curl,spectral
3.9061274329821267,simplex,1,4691126,14378940,12,3.3980472087860107,stokes_momentum,spectral
1.9596024354298909,simplex,2,274400,6771087,12,1.6542961796124775,stokes_momentum,spectral
1.2343343496322632,simplex,3,36414,3059364,12,1.0039394696553547,stokes_momentum,spectral
0.8502385218938192,simplex,4,7680,1545291,12,0.6639708081881205,stokes_momentum,spectral
0.8739379048347473,simplex,1,938700,2921850,12,0.7736402352650961,elasticity,spectral
0.5287755131721497,simplex,2,54752,1378377,12,0.45909583568573,elasticity,spectral
